topic,question,bestanswer
34_7,What about environmental factors during the Bronze Age collapse?,CAR_1fd70e88d06da70de317cc423d3fd2770b55b5f3
34_8,What empires survived the Bronze Age collapse?,CAR_96f04b89c6b57bf3f3b236914e71b9299038b428
37_1,What was the Stanford Experiment?,CAR_98a95d4704dfef815de8b4136585a6baf67aabec
37_2,What did the Stanford Experiment show?,CAR_ce14b58d20412dbac87893fc5241afc1e4f62e24
37_3,Tell me about the author of the Stanford Experiment.,CAR_4cbd48dc8328602df3b555f4d399db5f98fceaaa
37_4,Was the Stanford Experiment ethical?,CAR_efb85354b19cf62de7a4bdffcd40d503cfb93a9b
37_5,What are other similar experiments to the Stanford Experiment?,CAR_9fb2a1e33c6ccdf9fd5da36e198e338098336244
37_6,What happened in the Milgram experiment?,CAR_fb009414929bfe036c16fcc2b8e43a7932716a1b
37_7,Why was the Milgram experiment important?,CAR_0f97494cfe3ecd3e30904050f051c12daea2dac2
37_8,What were the similarities and differences between the Stanford Experiment and the Milgram experiment?,CAR_e6e3c070144dc8649963f989fc267026d84bd86b
40_1,What are the origins of popular music?,CAR_7b57230c70924180246b25a77c9d74eda16ff49c
40_2,What are popular music's characteristics?,CAR_1cfdcdf9617a193d150920cdf551a02fcac6aa77
40_3,What technological developments enabled popular music?,CAR_0c28ac790b48bd0e2ddaa331495894099808a12a
40_4,When and why did people start taking pop music seriously?,CAR_4c8df902420bc8ff5ea2aa01e75272438753e888
40_5,How has pop music been integrated into music education?,CAR_0ccd84f8630dbf9d51d2ab15a0c2452943eed432
40_6,Describe some of the influential pop bands.,CAR_631df0ce22c0a9353db337f2141b5bc14c428de0
40_7,What makes a song pop punk?,CAR_2c46cc70f460be0bde5abc276861ced4c90bc67b
40_8,What is the difference between pop punk and emo?,CAR_497a528da6f88eb5e54a57947a306cc7fed1eeae
49_1,How was Netflix started?,MARCO_5099104
49_2,How did Netflix originally work?,MARCO_2106478
49_3,What is Netflix's relationship with Blockbuster?,MARCO_5261498
49_4,When did Netflix shift from DVDs to a streaming service?,MARCO_2480879
49_5,What are Netflix's other competitors than Blockbuster?,MARCO_8700077
49_6,How does Netflix compare to Amazon Prime Video?,MARCO_8166235
49_7,Describe Netflix's subscriber growth over time.,CAR_d207ca0054201c1930f117693fab68d79117748f
49_8,How has Netflix changed the way TV is watched?,CAR_26903b9b1ba84d65e9583a2ffcef10879a309f09
50_1,What was the first artificial satellite?,CAR_7864accd0e23c02ca7353aa521ad58cbd1ac93bf
50_2,What are the types of satellite orbits?,MARCO_1986854
50_3,What are the important classes of artificial satellites?,CAR_cd4c39422e4d9cde0e891d8eedc5aea785952600
50_4,How do satellite navigation systems work?,CAR_7e35955fa9dcce366df81284417c4f9e7b26791b
50_5,What is the Galileo system and why is it important?,CAR_a47cdd5dc6c04ef3eec33f2d9d8fa849deb89553
50_6,Why did the Galileo system create tension with the US?,CAR_e7c874b162b319b646788097fefdb31d65abeb72
50_7,What are Cubesats?,CAR_8a07418f0a35b41c81727cf31fbe386325e9b8fe
50_8,What are Cubesats' advantages?,CAR_6a3c17f1c457e43d4413927b7e16dd40ad98287d
54_1,What is worth seeing in Washington D.C.?,MARCO_4083277
54_2,Which Smithsonian museums in Washington D.C. are the most popular?,MARCO_2874994
54_3,Why is the National Air and Space Museum important?,CAR_f31c92aada52df5b0f60a8e3b7f24d7c586bd8f5
54_4,Is the Spy Museum in Washington D.C. free?,MARCO_8724939
54_5,What is there to do in Washington D.C. after the museums close?,MARCO_8757859
54_6,What is the best time to visit the reflecting pools in Washington D.C.?,MARCO_6736378
54_7,Are there any famous foods in Washington D.C.?,MARCO_3726682
54_8,What is a DC half smoke?,CAR_62ab6e7d93e47c7d05380d9de7b695b605db0dc5
54_9,Tell me about DC half smoke's history.,CAR_870574af91d72897cb3a08e05cfd6fd743d22e0d
56_1,What is Darwin’s theory in a nutshell?,MARCO_2530922
56_2,How was Darwin’s theory developed?,MARCO_2661358
56_3,How do sexual and asexual reproduction affect Darwin’s theory?,CAR_0a02b3c081a75fa4456cc3ec266c2448653007eb
56_4,How can fossils be used to understand Darwin’s theory?,CAR_9040cb8549b0fa6d244f65d1559e67fc2c5ba668
56_5,What is modern evidence for Darwin’s theory?,CAR_772b1bb2c666d70110466d0f04dd08e37b28c859
56_6,What is the impact of Darwin’s theory on modern biology?,CAR_d0d0e8b736d06bcab535747b322cade02ad318db
56_7,Compare and contrast microevolution and macroevolution.,CAR_f038098df123c3567a0cf24690cf98e62e29e5cc
56_8,What is the relationship of Darwin's theory to speciation?,CAR_96e1ab73505e632a221817f28f98abf49779ece8
58_1,What is a real-time database?,CAR_66f66d43b5ccbfc7d6ba0ed7ac1d000457876c9b
58_2,How does a real-time database differ from traditional databases?,CAR_66f66d43b5ccbfc7d6ba0ed7ac1d000457876c9b
58_3,What are the advantages of real-time processing in real-time databases?,CAR_66f66d43b5ccbfc7d6ba0ed7ac1d000457876c9b
58_4,What are examples of important real-time databases?,CAR_40979ef9c40980d39150cb1823bb967fa5532d4d
58_5,What are important applications of real-time databases?,CAR_4c996c157ef34e16b68bb0ea4af401a3579fbeda
58_6,What are important cloud options for real-time databases?,CAR_113d8310658b8064d84d4c254f05ec9fc2e5a669
58_7,Tell me about the Firebase DB.,CAR_2dba24e34310221a0020ca9e58dc4064840f11fb
58_8,How is Firebase DB used in mobile apps?,CAR_2dba24e34310221a0020ca9e58dc4064840f11fb
59_1,Which weekend sports have the most injuries?,MARCO_1200416
59_2,What are the most common types of injuries?,MARCO_6779241
59_3,What is the ACL?,MARCO_3717892
59_4,What is an injury for the ACL?,CAR_a54c27a80bfa448127bead6a45133979ba0e0652
59_5,Tell me about the RICE method.,MARCO_8757626
59_7,What is arnica used for in sports injuries?,MARCO_7787218
59_8,What are some ways to avoid sports injuries?,MARCO_301840
61_1,Who are The Avengers?,MARCO_2379978
61_2,Tell me about The Avengers' first appearance.,MARCO_2379978
61_3,Who is the most powerful of The Avengers and why?,MARCO_8193082
61_4,What is the relationship of Spider-Man to The Avengers?,MARCO_6325377
61_5,Why is Batman not a member of The Avengers?,MARCO_8019905
61_6,What is an important team in the DC universe?,CAR_4b18b521b30a9d32d2c2852b05a5fffce336ca4e
61_7,Tell me about the origins of the Justice League in the DC universe.,CAR_4e8eef22b8afd4025de4cd28d74a4efb0d598d98
61_8,Who are the important members of the Justice League?,CAR_4b18b521b30a9d32d2c2852b05a5fffce336ca4e
67_1,Why is blood red?,MARCO_540109
67_10,What foods contain high levels of iron?,MARCO_2531173
67_11,What improves iron absorption?,MARCO_885881
67_2,What are red blood cells?,MARCO_1195872
67_3,How are red blood cells created?,CAR_bfcaf47f5b63cbed45d3686ffd733ee7ee3497bd
67_4,How is oxygen transported in blood?,MARCO_1436788
67_5,What is anemia?,MARCO_6200559
67_6,What are the symptoms of anemia?,CAR_c736b3788b83aac23ccb620022e51964ebaad91d
67_7,Can anemia go away?,MARCO_1360307
67_8,What are anemia's possible causes?,CAR_8b9d7f85d212920864fe31e201316027042e1e53
67_9,How is anemia treated?,MARCO_716002
68_1,What is cuisine is Emilia-Romagna famous for?,CAR_a6764b19996a9360286a973000e4c3b70a0f0354
68_10,What is the history of tagliatelle al ragu bolognese?,CAR_2a51e7bd37588de42e98a225c46bf9cd5dd021f9
68_11,What are common variations of tagliatelle al ragu bolognese?,CAR_ed61390b296c3beeeeabe3bb145dc62fde760eee
68_2,Tell me about cooking schools and classes in Emilia-Romagna.,CAR_1ea438efdfb51209784617f7dfbe7ab29085a8bc
68_3,What are famous foods from Emilia-Romagna?,CAR_a6764b19996a9360286a973000e4c3b70a0f0354
68_4,Describe the traditional process for making balsamic vinegar.,CAR_192c01b2083efc009e5d9b41cdc0ada4468480c9
68_5,What is mortadella and where is it from?,MARCO_8599555
68_6,What’s the difference between mortadella and bologna?,MARCO_4226769
68_7,Where was Parmesan cheese created?,MARCO_4633852
68_8,What is done with the whey after production of Parmesan cheese?,MARCO_1676685
68_9,What are typical pasta dishes from Emilia-Romagna?,CAR_a6764b19996a9360286a973000e4c3b70a0f0354
69_1,How do you sleep after jet lag?,MARCO_5234962
69_10,How about melatonin's effect for anxiety?,MARCO_7981000
69_2,Does melatonin help with jet lag?,CAR_bdc8d3a7ae55c0db5d5e12dd4d3201dcf0935cd4
69_3,How was melatonin discovered?,CAR_da17d8a585a2caf89eae83b9dc27926479f1cef6
69_4,What are good sources of melatonin in food?,CAR_44c4d90039478e22723a19c0c0a53efaee40496c
69_5,Is melatonin bad for you?,MARCO_7976107
69_6,What are the side effects of melatonin?,MARCO_4836969
69_7,Why does melatonin require a prescription in the UK?,MARCO_367324
69_8,How can I increase my melatonin levels naturally?,CAR_44c4d90039478e22723a19c0c0a53efaee40496c
69_9,Is melatonin effective for treating insomnia?,MARCO_3960638
75_1,Why do turkey and Turkey share the same name?,CAR_a43336b69a01972d6885ae62c3fd91becb15af69
75_2,Where are turkeys from?,MARCO_7775671
75_3,What was the importance of turkey in native cultures?,CAR_cce033c1d52365f9582b5723238585d000a89cea
75_4,When and how were turkeys domesticated?,CAR_decac487c810303730195f19ff73cf5bd98b91ed
75_5,Can turkeys fly?,CAR_3ba52b0d8bb51efc5c12ef3a85e4e4467d69c3f7
75_6,Why did Ben Franklin want turkey to be the national symbol?,CAR_98c811d445645eecb8910e732fbe177f3a232af5
75_8,Why is turkey eaten on Thanksgiving?,CAR_af1f4c832fdacb6e5cef273a1393411d8adffc56
77_1,What's the difference between soup and stew?,CAR_ffbb032dd7f540ee2cb7e68d16e75945a0360381
77_2,Is chilli a stew?,MARCO_4452675
77_3,Is goulash a stew?,MARCO_4948691
77_4,What are popular stews in France?,CAR_873348cad14a217445aee3bbd35cdd75814a425d
77_5,How is cassoulet made?,CAR_66eff27699239eb298881ab9f16759580ff73208
77_6,Tell me about feijoada and its significance.,MARCO_1899968
77_7,How is feijoada similar or different from cassoulet?,CAR_22eea6a4446b399fc617ba7ad2a96c6b9bec39e5
77_8,Tell me about Bigos stew.,MARCO_7440551
78_1,What is the keto diet?,CAR_18cd058b20b933d141f07843595e74066f10875f
78_2,Why was keto diet originally developed?,MARCO_3623247
78_3,What is ketosis?,MARCO_3593755
78_4,What is a paleo diet?,CAR_b5b05766afd890fcb7f889545534fb4f242d3e23
78_5,What do a paleo diet and a keto diet have in common?,MARCO_4813855
78_6,How are a paleo diet and a keto diet different?,MARCO_4813852
78_7,What is intermittent fasting?,MARCO_435052
78_8,How is intermittent fasting related to keto?,MARCO_4010757
79_1,What is taught in sociology?,MARCO_394140
79_2,What is the main contribution of Auguste Comte to sociology?,CAR_651ebba2edda08211021651c58f9cc990d65258b
79_3,What is the role of positivism in sociology?,CAR_b534fa0fd8c22dea66bea198458582e8ab9799bc
79_4,What is Herbert Spencer known for in sociology?,CAR_0488ef362023e7d7f83a7c3c7db62e3c820008a6
79_5,How is Herbert Spencer's work related to Comte?,CAR_b26113fc6e288cf01f88f3ee473d9592dd756132
79_6,What is the functionalist theory in sociology?,CAR_b1a556af77d47462cb94769af9bbaf93a9eaf1ef
79_7,What is the main criticism of functionalist theory in sociology?,CAR_f304f1377652bef02572e36aa6e3f005fcc7c291
79_8,How does functionalist theory compare to conflict theory?,CAR_d6ecc524cd8e9622f8b8a5e4b54c7b3a7ddf2c77
79_9,What are modern examples of conflict theory?,MARCO_4711009
